facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
Jagiellonia Białystok,120530881321609,105415,5669,Sports Team,https://www.facebook.com/JagielloniaBialystok1920/
Juventus,171522852874952,25663960,592082,Sports Team,https://www.facebook.com/Juventus/
Jönköpings Södra IF,130219453666901,12213,1806,Sports Team,https://www.facebook.com/jsodra/
KAA Gent,126231514056980,126596,5218,Sports Team,https://www.facebook.com/kaagent/
KRC Genk official,274699336557,103341,10027,Sports Team,https://www.facebook.com/krcgenk/
KV Kortrijk,198234916888935,17296,693,Sports Team,https://www.facebook.com/kvkofficieel/
KV Mechelen,13685650604,39830,1205,Sports Club,https://www.facebook.com/yrkvmechelen/
KV Oostende,377109438988500,18731,2598,Sports Team,https://www.facebook.com/KVOostende/
KVC Westerlo,198262490213730,7942,362,Sports Team,https://www.facebook.com/KVC.Westerlo.official/
Kalmar FF,129830767065239,21135,801,Sports Team,https://www.facebook.com/KalmarFF/
Kardemir Karabükspor,710816225601794,38298,1105,Sports Team,https://www.facebook.com/kardemirdckarabukspor/
Вежа Ведмежа,223789187798077,62271,3108,Hotel,https://www.facebook.com/vv.karpaty/
Kasımpaşa - Eskişehir SK.,387860407968302,1676,0,Sports Team,https://www.facebook.com/Kasımpaşa-Eskişehir-SK-387860407968302/
Kayserispor,138321046176,71940,186,Sports Team,https://www.facebook.com/Kayserisporfanpage/
Kilmarnock F.C.,109466395740017,7529,0,Sports Team,https://www.facebook.com/pages/Kilmarnock-FC/109466395740017
Korona Kielce,189965994349935,101299,6281,Sports Team,https://www.facebook.com/korona.kielce.oficjalna/
FC Krylia Sovetov Samara,115660201975605,3795,5,Organization,https://www.facebook.com/fckssamara/
Roma Capitale,392032434197669,375866,12561,Government Organization,https://www.facebook.com/RomaCapitaleOfficialPage/
Lech Poznań,9790302060,655224,27897,Sports Team,https://www.facebook.com/lechpoznan.oficjalna/
Lechia Gdańsk,122743354420814,168339,18813,Sports Team,https://www.facebook.com/LechiaGdansk/
