date,ACMilan,AtleticodeMadrid,Chelsea-FC,Juventus,RealMadrid,fcbarcelona,fcbayern,fcbayern.en,manchesterunited
2015-08-05,21418075,9904092,32977905,9304285,70735478,72091236,2529636,20511560,56069048
2015-08-06,21419467,9905685,32990819,9304499,70763390,72118940,2530654,20546007,56094465
2015-08-07,21422094,9908528,32999359,9307508,70784820,72146277,2531392,20576343,56112474
2015-08-08,21423772,9909924,33010435,9309363,70804442,72172355,2531752,20604437,56135243
2015-08-09,21425316,9911292,33021423,9311634,70819215,72192992,2532546,20629837,56165102
2015-08-10,21426976,9912542,33029899,9313045,70836074,72216201,2533253,20655239,56181914
2015-08-11,21429601,9913494,33039234,9313774,70856896,72243112,2534067,20670591,56200994
2015-08-12,21431331,9914646,33046781,9314432,70873469,72286227,2534777,20688545,56217028
2015-08-13,21434853,9915575,33053832,9314795,70893227,72318988,2535551,20704277,56234875
2015-08-14,21437695,9916536,33060335,9315400,70908585,72341137,2536234,20715097,56249321
2015-08-15,21441067,9918175,33069223,9316137,70935385,72375600,2537950,20724517,56272291
2015-08-16,21443277,9919590,33076324,9316535,70955250,72398904,2538719,20728816,56286632
2015-08-17,21444189,9920887,33084235,9317077,70966350,72412930,2539211,20731011,56295708
2015-08-18,21445252,9921917,33087856,9317590,70976315,72432699,2539760,20741729,56301589
2015-08-19,21447871,9924342,33093619,9317680,71001261,72457338,2540513,20761067,56317485
2015-08-20,21448457,9925656,33097682,9317985,71014929,72469566,2540790,20782000,56326807
2015-08-21,21449232,9927076,33106013,9318793,71029503,72485340,2541080,20804360,56336866
2015-08-22,21448354,9926919,33107888,9320015,71033073,72487814,2541358,20820581,56338522
2015-08-23,21446258,9925583,33105803,9317358,71031298,72486234,2541801,20831940,56340988
2015-08-24,21446119,9924934,33112004,9318163,71037695,72493244,2542244,20843348,56342402
2015-08-25,21446610,9924823,33114575,9316627,71048101,72506313,2542788,20853995,56348247
2015-08-26,21451194,9926012,33124730,9317209,71075812,72534431,2543984,20868583,56371017
2015-08-27,21454218,9926209,33129251,9317089,71091654,72552861,2545062,20880062,56388645
2015-08-28,21455952,9926796,33133352,9317708,71106214,72569543,2545696,20892739,56398439
2015-08-29,21458300,9927017,33139690,9317226,71118408,72588191,2547104,20904600,56414491
2015-08-30,21459219,9927431,33144194,9317170,71130803,72600507,2547913,20918480,56420603
2015-08-31,21460914,9928996,33147660,9318513,71143258,72613478,2548518,20935092,56431996
2015-09-01,21459258,9927882,33144440,9317324,71138434,72608979,2548714,20933354,56428277
2015-09-02,21459288,9927679,33147680,9316969,71143912,72616410,2549113,20941446,56428120
2015-09-03,21459441,9927951,33153056,9317376,71151139,72627108,2549367,20966210,56433976
2015-09-04,21459281,9928376,33154278,9321537,71152562,72630155,2549757,20989402,56435849
2015-09-05,21460803,9929746,33156809,9330687,71161655,72642079,2550091,21017429,56440606
2015-09-06,21458955,9927824,33151886,9336886,71164674,72635731,2550297,21031721,56438217
2015-09-07,21457108,9927334,33149611,9344110,71159527,72634866,2550404,21032309,56447793
2015-09-08,21457889,9928411,33153538,9351452,71172780,72650975,2550896,21051979,56459578
2015-09-09,21457009,9929549,33152864,9359448,71174464,72660326,2551137,21077761,56462048
2015-09-10,21456080,9929239,33153032,9365470,71175025,72662933,2551278,21108782,56468680
2015-09-11,21455242,9945603,33153050,9371589,71177888,72667880,2551393,21138450,56472232
2015-09-12,21454967,9969502,33153110,9377969,71180493,72673172,2551540,21169917,56474191
2015-09-13,21455091,10002935,33156916,9384973,71193366,72687308,2551900,21201889,56493601
2015-09-14,21456796,10030574,33156286,9391381,71197950,72693811,2552263,21227059,56496654
2015-09-15,21459273,10058885,33159069,9399753,71208807,72707315,2552564,21238965,56503774
2015-09-16,21461331,10075724,33162238,9410863,71226019,72721292,2552743,21257944,56513026
2015-09-17,21460395,10075786,33163938,9416735,71236208,72744214,2553487,21258587,56517010
2015-09-18,21458892,10074606,33168453,9425258,71229555,72741000,2542674,21268006,56513636
2015-09-19,21459007,10074854,33181086,9452209,71235308,72746906,2548788,21291938,56514414
2015-09-20,21461622,10077865,33194094,9459489,71259596,72769043,2549430,21297752,56527356
2015-09-21,21462439,10078381,33195434,9465885,71264772,72776882,2549787,21297727,56537218
2015-09-22,21460654,10076830,33192280,9469170,71258360,72771635,2550151,21295102,56535328
2015-09-23,21460186,10076687,33192080,9472638,71260068,72772452,2552635,21303496,56536410
2015-09-24,21459615,10078149,33193427,9477930,71271788,72786521,2554585,21320969,56544388
2015-09-25,21459828,10079656,33195996,9482718,71283435,72798687,2555033,21325628,56553385
2015-09-26,21460252,10081162,33198591,9488766,71290052,72805091,2555440,21335908,56559968
2015-09-27,21459780,10082274,33200249,9492616,71302674,72812417,2555599,21342222,56571659
2015-09-28,21459143,10084483,33204310,9498719,71318090,72831954,2556246,21357258,56583838
2015-09-29,21459388,10085103,33203868,9504560,71313094,72827582,2556368,21360778,56581879
2015-09-30,21458428,10087002,33206238,9513506,71321646,72843793,2558172,21369126,56590301
2015-10-01,21460117,10090889,33216206,9543430,71352066,72869552,2559681,21381440,56610234
2015-10-02,21460228,10092940,33222562,9555835,71363565,72880071,2561728,21390481,56619308
2015-10-03,21459509,10094144,33221422,9554817,71377432,72886955,2561674,21388790,56624808
2015-10-04,21459181,10095986,33224057,9554915,71392912,72900022,2561933,21390897,56633816
2015-10-05,21458822,10103656,33225731,9555250,71413439,72909715,2564340,21398093,56650597
2015-10-06,21458179,10105859,33226676,9555150,71422711,72921072,2564805,21427032,56656997
2015-10-07,21457145,10106828,33227470,9555186,71429765,72932120,2565136,21453111,56662083
2015-10-08,21446290,10100651,33206846,9560372,71406363,72909276,2564164,21453519,56641601
2015-10-09,21433083,10092574,33182794,9561996,71367264,72874990,2563878,21452940,56612653
2015-10-10,21432034,10093778,33182760,9582569,71376127,72886370,2565711,21472003,56620266
2015-10-11,21429512,10092654,33179898,9587953,71373271,72882999,2565345,21472871,56617159
2015-10-12,21452741,10110894,33232316,9628160,71460570,72968028,2568296,21533405,56686585
2015-10-13,21451667,10111841,33233673,9629050,71465336,72974601,2568717,21543992,56691794
2015-10-14,21450626,10113568,33235185,9632119,71470240,72981468,2569099,21554493,56697373
2015-10-15,21449387,10114845,33236007,9648356,71474556,72987585,2570189,21562944,56702031
2015-10-16,21448714,10115678,33237449,9659757,71479431,72994834,2570931,21568871,56707282
2015-10-17,21447507,10116198,33237360,9670950,71480909,72998603,2571221,21576607,56710484
2015-10-18,21447715,10118123,33242075,9682726,71492410,73010335,2571048,21586910,56725225
2015-10-19,21443863,10117895,33241519,9695637,71495402,73014783,2571734,21592691,56730384
2015-10-20,21444754,10120838,33248104,9713297,71512866,73034588,2573030,21611711,56744372
2015-10-21,21443643,10121597,33250196,9719097,71517863,73044161,2573667,21619749,56748185
2015-10-22,21442715,10123707,33252965,9736147,71534137,73054235,2574055,21629511,56755615
2015-10-23,21441048,10124323,33253428,9746614,71536080,73057218,2574297,21638258,56758402
2015-10-24,21440530,10126035,33256965,9749368,71547454,73070635,2574931,21654274,56769156
2015-10-25,21439756,10127266,33261032,9751613,71557052,73079522,2575605,21671956,56778675
2015-10-26,21438824,10129026,33264440,9753271,71564492,73090369,2575880,21686525,56797875
2015-10-27,21438212,10130458,33267132,9755037,71570866,73099214,2576232,21700506,56806054
2015-10-28,21437335,10132036,33270358,9758611,71576589,73108549,2577272,21715401,56813414
2015-10-29,21437027,10133634,33274009,9764193,71584282,73115391,2577867,21728934,56822090
2015-10-30,21435404,10135149,33276107,9767045,71588695,73126700,2578157,21742368,56829110
2015-10-31,21434743,10137388,33280448,9769846,71596226,73139049,2578602,21758225,56839750
2015-11-01,21433873,10139469,33291164,9772614,71601617,73149391,2578776,21765216,56849831
2015-11-02,21433434,10141102,33295833,9775039,71604324,73157988,2578823,21774628,56855281
2015-11-03,21433001,10142836,33298836,9783731,71606308,73165455,2578839,19399151,56859281
