team_name,team_tw_name,tw_id,url,created_at,followers,statuses
Eintracht Frankfurt,Eintracht,120127817,https://t.co/ogC47JTQ0O,2010-03-05,308724,22083
Elche CF,ElcheIrishFans,1042488936,http://t.co/cEekcJ2r,2012-12-28,832,4106
Empoli FC,EmpoliCalcio,2650674570,http://t.co/0yc1ZoHU7G,2014-07-16,102126,11158
Erzgebirge Aue,FCErzgebirgeAue,157596804,http://t.co/qxCcL3SZaM,2010-06-20,41926,6872
Esbjerg fB,bold_efb,124450584,http://t.co/kKH7tYc7um,2010-03-19,861,3459
Espanyol Barcelona,Espanyolbar,3151110470,None,2015-04-12,74,16
Everton FC,Everton,15891449,https://t.co/dPgzqMFoKN,2008-08-18,1091821,75246
FC Admira Wacker,FCAdmiraWacker,754992216427360258,None,2016-07-18,651,796
FC Arouca,ivan_balliu,413295955,https://t.co/0EcXzML1Ba,2011-11-15,44443,559
FC Augsburg,FCAugsburg,425850229,https://t.co/UBjV8Q8PdZ,2011-12-01,164053,17286
FC Barcelona,FCBarcelona,96951800,https://t.co/tLKuK0LpM4,2009-12-15,20826753,86020
FC Bari 1908,fcb1908,1565314788,https://t.co/wfbvvjnJEl,2013-07-03,19173,4579
FC Botoşani,fcbotosani,65797762,http://t.co/rFobdd4nDb,2009-08-15,232,26
FC Bourg-Péronnas,NaN,NaN,NaN,NaN,NaN,NaN
FC Crotone,FcCrotoneOff,2754914498,https://t.co/EOvQefczpg,2014-08-22,13329,7019
FC FASTAV Zlín,footballzlin,389990639,http://t.co/0rU8r259Hw,2011-10-13,1255,3476
FC Groningen,fcgroningen,14921134,https://t.co/Uu9Y1guHIp,2008-05-27,63421,23402
FC Hradec Králové,FCHradec,494982923,http://t.co/6A0gXzvS,2012-02-17,2293,1030
FC Ingolstadt 04,Schanzer,86272639,http://t.co/yCMZXPOYiX,2009-10-30,61042,16163
FC København,fc_kobenhavn,2662153273,http://t.co/Trx8tenwru,2014-07-20,6,61
FC Lorient,FCLorient,338891581,https://t.co/XtPX2ZB2N8,2011-07-20,204743,21105
FC Metz,FCMetz,596230054,http://t.co/Yh2CmbJWxc,2012-06-01,109076,18907
FC Midtjylland,fcmidtjylland,1134194520,http://t.co/PoUSZWJs7f,2013-01-30,11015,6752
FC Nantes,FCNantes,804263442,https://t.co/3aLE8IPuRu,2012-09-05,349145,13672
FC Nordsjælland,NaN,NaN,NaN,NaN,NaN,NaN
FC Porto,FCPorto,21390674,http://t.co/OKA9l7a09g,2009-02-20,855134,34062
FC Schalke 04,s04,296163037,https://t.co/u9C2wJ9HGW,2011-05-10,524499,38600
FC Sochaux,FF_FCSM,232185337,http://t.co/WWTRQvglnJ,2010-12-30,3341,1404
FC St. Pauli,fcstpauli,1086529322,http://t.co/31xdOnZczp,2013-01-13,167003,23738
FC Twente,fctwente,74974940,http://t.co/ZfE3NtlPQO,2009-09-17,110890,28935
FC Ufa,SlavaKrotov,412851442,None,2011-11-15,8872,2581
FC Utrecht,fcutrecht,19496630,https://t.co/U4hf4APhQ2,2009-01-25,50859,21427
FC Viitorul Constanța,NaN,NaN,NaN,NaN,NaN,NaN
FC Voluntari,NaN,NaN,NaN,NaN,NaN,NaN
FC Zbrojovka Brno,FCZbrojovkaBrno,740098668,http://t.co/mxvLQXysb9,2012-08-06,3282,4468
FK AS Trenčín,AS_Trencin_FR,3946607896,None,2015-10-13,147,318
FK Amkar Perm,NaN,NaN,NaN,NaN,NaN,NaN
FK Dukla Praha,FKDuklaPraha,712758288,https://t.co/SdcLtKQdwF,2012-07-23,3346,3740
FK Jablonec,FKJablonec,1225167247,http://t.co/S7hacQ3dyJ,2013-02-27,2983,6182
FK Krasnodar,FKKFrance,3489558323,None,2015-08-30,504,6941
FK Mladá Boleslav,fkmladaboleslav,612412295,http://t.co/SWJYqEju,2012-06-19,3181,3722
FK Rostov,FK_ROSTOV,1943450053,None,2013-10-07,3,0
FK Senica,FKSenica,429037813,http://t.co/3CfS5q4Qkj,2011-12-05,649,3451
FK Teplice,FK_Teplice,399411983,https://t.co/7NtnMtsu46,2011-10-27,3193,3100
FK Tom Tomsk,NaN,NaN,NaN,NaN,NaN,NaN
FK Ural,FK_Ural_FR,842429578744369152,None,2017-03-16,31,69
Falkenbergs FF,FFF_Live,618402871,http://t.co/Fbakp4DDoQ,2012-06-25,2209,2644
Falkirk FC,falkirkbairns,98413343,https://t.co/A50nMeTZ0N,2009-12-21,17189,23968
Fenerbahçe,Fenerbahce,11525172,https://t.co/xOtEnclbU9,2007-12-26,5593367,45256
Ferencvárosi TC,Fradi_HU,1154095495,http://t.co/GY7YZ3pg,2013-02-06,3467,11039
Feyenoord,Feyenoord,76618798,http://t.co/2GhvTc3Ttg,2009-09-23,354322,25681
Fortuna Düsseldorf,KianzFroese,550318840,None,2012-04-10,1395,909
Frosinone Calcio,Frosinone1928,962626411,https://t.co/HaU2yzgxBN,2012-11-21,27300,8899
Fulham FC,FulhamFC,22903812,http://t.co/U4NRqEMMd7,2009-03-05,336032,36998
GD Chaves,jasonrego3,3283488241,https://t.co/uzsMEBEuKY,2015-07-18,327,3643
GD Estoril,NaN,NaN,NaN,NaN,NaN,NaN
GFC Ajaccio,gfc_ajaccio,608486648,http://t.co/xNvy28Fmo6,2012-06-14,31358,3946
GIF Sundsvall,GIFSundsvall,82075280,https://t.co/UNmW6xCq9C,2009-10-13,4502,6818
Galatasaray,Galatasaray,2279528208,https://t.co/Buz3AzCoIs,2014-01-06,214589,10593
Gaz Metan Mediaş,Gazistul,111845555,http://t.co/utvzjX6gu5,2010-02-06,465,778
Gaziantepspor,GaziantepsporSK,264113822,http://t.co/f6jOa0bWBP,2011-03-11,93178,6064
Gazovik Orenburg,NaN,NaN,NaN,NaN,NaN,NaN
Gefle IF,DenizHummet,2929731645,None,2014-12-18,724,174
Genoa CFC,GenoaCFC,319086477,http://t.co/xM7euVTrpk,2011-06-17,258581,22660
Gençlerbirliği,kirmizikara,708832843,http://t.co/167kHzUSiJ,2012-07-21,28629,16978
Getafe CF,GetafeCF,3511605017,http://t.co/5S3rK4ehCx,2015-09-01,25862,8031
Gimnàstic,NASTICTARRAGONA,79501309,http://t.co/mCp8GdcwzG,2009-10-03,51695,28555
Girona FC,GironaFC,198141246,https://t.co/8dpbJvgrqq,2010-10-03,129447,22327
Girondins Bordeaux,paulberni,310453139,None,2011-06-03,4379,1585
Go Ahead Eagles,GAEagles,329549462,https://t.co/0vEpumIOoH,2011-07-05,21244,10789
Granada CF,GranadaCdeF,188263011,https://t.co/Tb2d6EGket,2010-09-08,299739,27425
Greenock Morton FC,GMFCfantasy,712206648,https://t.co/J8vUFNDIye,2012-07-23,1537,11473
Gyirmot SE,NaN,NaN,NaN,NaN,NaN,NaN
Górnik Łęczna,zielono_czarni,2544084290,http://t.co/d78idpaVpK,2014-06-03,6570,3451
HNK Rijeka,FanShopHNKR,478881257,http://t.co/HGzJm3fhgN,2012-01-30,329,167
Hajduk Split,hajduk,90366224,http://t.co/LrJiSuF0cF,2009-11-16,73531,33224
Hamburger SV,HSV,174160697,http://t.co/OG4QAdmaHk,2010-08-03,486905,21233
Hamilton Academical,acciesfc,329606884,https://t.co/A71o4OPwWI,2011-07-05,16896,52782
Hammarby IF,HammarbyBoxning,2222144600,None,2013-11-29,152,96
Hannover 96,Hannover96,47950655,https://t.co/l7JtKSLmqo,2009-06-17,235667,18804
Heart of Midlothian,JamTarts,19295590,https://t.co/8oWk1ny44U,2009-01-21,62564,39333
Hellas Verona,HellasVeronaFC,546103238,https://t.co/qnrqeqzxAU,2012-04-05,225745,14509
Helsingborgs IF,HelsingborgsIF,91072989,https://t.co/imK3RAbxaN,2009-11-19,7377,15636
